mls_id,status,property_type,address,city,zip,neighborhood,latitude,longitude,list_date,list_price,close_date,sold_price,bedrooms,bathrooms_full,bathrooms_half,sqft_living,lot_size_sqft,year_built,hoa_monthly,days_on_market,parking_spaces,pool,arv_estimate,reno_cost_estimate,hold_months,taxes_annual,mls_region,price_per_sqft,max_offer_70rule
A1161000,Closed,Single Family,534 NE 54th Ct,Miami,33145,Shenandoah,25.754982,-80.244197,2025-02-09,702000,2025-03-01,725000.0,3,3,0,1451,8837.0,1994,0,13,1,No,,33315,0,9062,MIAMI,499.66,474185
A1161001,Active,Townhouse,5735 SW 2nd Dr #3205,Miami,33131,Brickell,25.734839,-80.305493,2025-08-15,1307000,,,3,2,0,1977,,1967,612,22,1,Yes,1413000.0,35192,4,16338,MIAMI,661.1,953908
A1161002,Active,Multi-Family,1407 NE 4th Ct #1207,Miami,33137,Edgewater,25.825802,-80.20404,2025-07-31,1565000,,,5,3,0,2530,8729.0,1964,0,5,3,No,1947000.0,27904,4,19562,MIAMI,618.58,1334996
A1161003,Active,Townhouse,6316 SW 54th Ave #1803,Miami,33133,Coconut Grove,25.83666,-80.29549,2025-07-13,1144000,,,3,3,0,1579,,2017,381,11,1,Yes,1250000.0,81511,8,14300,MIAMI,724.51,793489
A1161004,Closed,Single Family,9297 SW 62nd Ct #901,Miami,33145,Coral Way,25.762381,-80.283006,2025-05-13,468000,2025-07-29,464000.0,3,1,0,1015,5741.0,2003,0,68,2,Yes,,21054,0,5800,MIAMI,457.14,303746
A1161005,Active,Condo,9863 SE 45th Ter #501,Miami,33135,Little Havana,25.815425,-80.262285,2025-03-13,588000,,,2,1,0,1171,,2020,955,51,0,Yes,652000.0,37000,7,7350,MIAMI,502.13,419400
A1161006,Closed,Single Family,4415 NE 45th St #1207,Miami,33127,Wynwood Norte,25.872611,-80.188622,2025-03-13,940000,2025-05-25,930000.0,3,2,0,2346,6404.0,1995,0,68,3,No,,37515,0,11625,MIAMI,396.42,613485
A1161007,Closed,Condo,5138 NE 2nd Ave #901,Miami,33135,Little Havana,25.737899,-80.265553,2025-04-24,584000,2025-07-10,587000.0,3,3,0,1032,,2016,615,72,2,Yes,,29469,0,7338,MIAMI,568.8,381431
A1161008,Closed,Single Family,3395 SW 27th Dr #1803,Miami,33138,Miami Shores,25.868626,-80.20671,2025-07-06,546000,2025-09-19,557000.0,2,2,0,1091,6171.0,2007,0,64,3,No,,6975,0,6962,MIAMI,510.54,382925
A1161009,Active,Multi-Family,5513 NW 45th Ave #1207,Miami,33127,Wynwood Norte,25.756631,-80.184187,2025-02-02,630000,,,3,1,0,1907,8820.0,1968,0,5,2,No,683000.0,76999,4,7875,MIAMI,330.36,401101
A1161010,Closed,Condo,6835 SE 2nd Dr,Miami,33136,Overtown,25.825437,-80.266855,2025-03-21,364000,2025-04-20,374000.0,2,1,1,785,,1992,1190,22,2,Yes,,14291,0,4675,MIAMI,476.43,247509
A1161011,Active,Townhouse,9116 NW 2nd Dr #501,Miami,33127,Wynwood Norte,25.790901,-80.190798,2025-05-30,730000,,,3,2,0,1454,,1975,298,16,1,Yes,839000.0,23412,4,9125,MIAMI,502.06,563888
A1161012,Closed,Single Family,4773 SE 54th Dr #3205,Miami,33145,Coral Way,25.868243,-80.202231,2025-02-01,717000,2025-04-14,711000.0,3,2,0,1290,5348.0,1988,0,59,2,Yes,,26577,0,8888,MIAMI,551.16,471123
A1161013,Active,Townhouse,3144 NW 79th St,Miami,33129,The Roads,25.729101,-80.243826,2025-09-07,1029000,,,3,1,1,2191,,2004,229,34,1,Yes,1118000.0,81802,5,12862,MIAMI,469.65,700798
A1161014,Active,Condo,5015 SE 17th Rd,Miami,33142,Liberty City,25.75819,-80.260632,2025-03-25,671000,,,1,3,0,1258,,1973,490,43,2,Yes,731000.0,18146,6,8388,MIAMI,533.39,493554
A1161015,Active,Single Family,8766 NW 54th Ter,Miami,33137,Edgewater,25.853399,-80.214469,2025-04-14,1183000,,,2,2,0,2051,6001.0,1987,0,11,1,No,1319000.0,25148,7,14788,MIAMI,576.79,898152
